temperature_celsius,rainfall_mm,soil_type,crop_variety,season,irrigation_type,region,fertilizer_kg_per_acre,sunlight_hours,crop_yield_ton_per_acre
39.44,1038.42,Silty,Maize,Rabi,Drip,East,89.15,8.84,12.719
23.63,1418.7,Loamy,Barley,Rabi,Sprinkler,South,159.84,10.1,15.031
38.36,511.34,Loamy,Maize,Zaid,Sprinkler,South,117.28,11.72,11.051
36.83,1038.42,Clay,Sorghum,Zaid,Sprinkler,West,25.85,8.1,11.939
20.22,1276.51,Silty,Barley,Rabi,Flood,East,174.35,5.22,12.286
27.56,1212.33,Clay,Sorghum,Kharif,Sprinkler,Central,96.28,11.56,13.315
20.1,539.97,Sandy,Wheat,Rabi,Rainfed,East,115.02,7.33,9.303
30.71,1301.1,Loamy,Barley,Rabi,Sprinkler,Central,142.08,8.35,13.046
17.47,775.33,Loamy,Barley,Rabi,Flood,North,45.96,4.44,8.083
35.84,1257.88,Loamy,Sorghum,Rabi,Flood,East,90.8,9.6,13.391
26.13,1118.96,Peaty,Wheat,Rabi,Sprinkler,Central,130.48,7.69,11.438
16.55,320.84,Clay,Wheat,Kharif,Rainfed,Central,184.0,10.16,10.83
15.65,497.8,Loamy,Wheat,Kharif,Rainfed,South,153.89,5.67,10.318
15.46,1175.31,Loamy,Wheat,Zaid,Sprinkler,South,17.42,10.52,10.814
17.29,321.26,Silty,Wheat,Rabi,Flood,East,180.24,7.92,9.221
36.83,207.29,Loamy,Maize,Rabi,Flood,Central,81.86,4.45,8.614
17.81,1206.55,Silty,Rice,Rabi,Drip,West,20.75,7.59,10.525
32.93,929.22,Silty,Wheat,Rabi,Flood,Central,55.04,6.32,10.537
37.5,749.75,Silty,Barley,Kharif,Flood,South,91.43,6.87,10.788
33.11,1295.83,Clay,Wheat,Rabi,Drip,Central,110.99,8.29,12.966
19.32,1312.58,Loamy,Sorghum,Zaid,Flood,Central,145.53,7.02,11.786
28.74,660.74,Silty,Rice,Kharif,Flood,West,164.23,7.43,10.731
24.45,615.93,Silty,Wheat,Kharif,Flood,West,82.95,7.15,8.72
29.75,1104.91,Peaty,Wheat,Zaid,Flood,North,165.41,5.9,12.437
37.66,486.1,Loamy,Wheat,Kharif,Sprinkler,East,193.32,4.3,10.474
21.27,493.15,Clay,Wheat,Rabi,Sprinkler,South,169.87,5.58,10.085
30.45,506.16,Silty,Maize,Kharif,Sprinkler,Central,92.38,7.52,9.262
15.08,1315.31,Sandy,Rice,Kharif,Flood,North,157.58,4.55,11.292
33.34,256.17,Loamy,Wheat,Kharif,Drip,South,74.41,6.52,7.077
19.08,508.37,Clay,Rice,Kharif,Rainfed,Central,11.19,8.3,7.193
22.82,1207.18,Sandy,Rice,Kharif,Rainfed,Central,60.3,7.0,9.923
34.99,478.49,Loamy,Rice,Zaid,Flood,Central,53.76,4.34,6.324
35.02,1406.87,Clay,Barley,Zaid,Drip,South,160.24,6.52,13.323
24.62,283.46,Sandy,Wheat,Zaid,Sprinkler,West,153.65,7.95,8.827
31.84,1302.4,Clay,Maize,Rabi,Drip,North,141.99,6.73,14.765
31.71,801.73,Silty,Wheat,Zaid,Sprinkler,North,36.09,11.08,9.622
18.6,817.37,Silty,Rice,Rabi,Sprinkler,South,110.59,7.1,9.878
20.03,250.84,Loamy,Barley,Kharif,Flood,Central,97.71,9.79,8.428
20.57,1165.5,Loamy,Rice,Rabi,Rainfed,Central,38.41,8.71,11.033
27.48,1170.3,Peaty,Wheat,Kharif,Rainfed,Central,86.48,9.32,12.443
38.89,846.03,Sandy,Maize,Rabi,Flood,South,107.06,6.72,11.389
35.11,1195.58,Silty,Sorghum,Kharif,Sprinkler,South,149.77,6.81,13.029
23.49,1266.19,Clay,Barley,Kharif,Rainfed,Central,168.92,10.1,14.362
19.89,1071.32,Loamy,Rice,Rabi,Flood,Central,98.8,4.68,9.497
26.87,712.9,Clay,Maize,Kharif,Flood,Central,151.53,6.28,12.183
26.99,1235.12,Clay,Rice,Zaid,Drip,East,176.82,10.35,14.981
15.15,674.07,Peaty,Rice,Rabi,Drip,North,52.26,4.82,6.812
34.59,207.81,Sandy,Barley,Kharif,Drip,Central,109.17,7.06,8.362
22.64,961.12,Peaty,Barley,Rabi,Sprinkler,South,44.58,11.56,10.895
37.61,889.54,Loamy,Maize,Zaid,Flood,West,197.27,8.65,13.493
31.55,982.93,Loamy,Barley,Zaid,Rainfed,Central,147.03,6.14,11.601
24.67,915.01,Loamy,Barley,Kharif,Rainfed,Central,89.38,11.78,11.482
37.27,453.29,Peaty,Maize,Rabi,Drip,South,70.86,11.7,8.911
19.01,835.6,Sandy,Sorghum,Kharif,Rainfed,North,101.31,10.15,8.919
15.36,251.22,Peaty,Maize,Rabi,Rainfed,South,199.46,4.97,8.114
33.58,1059.24,Sandy,Maize,Rabi,Drip,South,128.28,11.73,14.099
16.78,964.59,Clay,Barley,Zaid,Drip,South,42.85,10.91,10.258
34.49,833.14,Peaty,Maize,Rabi,Flood,East,190.88,6.3,12.906
25.81,1320.76,Clay,Barley,Kharif,Drip,South,102.88,8.84,11.182
21.63,428.79,Loamy,Barley,Kharif,Drip,North,70.63,7.87,7.905
23.72,1211.17,Silty,Maize,Zaid,Sprinkler,Central,31.44,5.86,10.46
39.61,615.33,Sandy,Barley,Kharif,Sprinkler,Central,44.59,11.32,9.492
17.52,1426.36,Silty,Barley,Rabi,Drip,West,127.87,6.15,11.896
24.64,1273.88,Loamy,Rice,Rabi,Flood,North,33.92,9.38,10.928
38.55,320.13,Loamy,Rice,Zaid,Rainfed,South,132.46,5.98,8.904
20.13,1130.33,Clay,Barley,Kharif,Rainfed,South,87.2,5.98,10.513
38.54,1137.09,Silty,Wheat,Rabi,Sprinkler,West,140.12,8.53,12.344
33.64,1040.45,Silty,Maize,Kharif,Flood,Central,75.54,4.83,8.984
15.77,1444.79,Clay,Wheat,Rabi,Flood,North,112.97,5.27,11.975
30.85,1252.42,Peaty,Barley,Kharif,Sprinkler,West,157.45,11.12,13.973
21.53,787.56,Peaty,Sorghum,Zaid,Sprinkler,North,29.63,4.01,7.23
21.12,1167.76,Sandy,Sorghum,Kharif,Sprinkler,West,27.31,7.9,11.426
34.0,1101.14,Peaty,Rice,Rabi,Flood,North,68.11,8.99,11.245
32.17,1352.68,Peaty,Barley,Rabi,Drip,South,102.3,10.63,13.2
21.4,595.49,Clay,Maize,Rabi,Rainfed,Central,35.63,9.44,7.213
34.24,1365.62,Silty,Wheat,Zaid,Rainfed,West,36.18,5.18,11.437
33.63,951.4,Peaty,Wheat,Kharif,Rainfed,East,197.76,7.36,12.91
37.15,890.67,Silty,Maize,Kharif,Sprinkler,East,167.75,4.87,9.681
24.89,962.16,Clay,Rice,Kharif,Sprinkler,South,20.99,7.76,8.687
29.68,572.91,Loamy,Barley,Kharif,Sprinkler,North,72.58,9.88,9.856
32.14,958.06,Loamy,Sorghum,Rabi,Rainfed,North,18.55,4.8,7.81
33.88,529.99,Sandy,Maize,Zaid,Flood,Central,15.53,10.31,10.286
31.44,770.94,Sandy,Maize,Rabi,Rainfed,West,50.51,5.74,9.723
15.19,1467.12,Clay,Wheat,Zaid,Sprinkler,West,57.62,10.48,12.128
19.26,1229.69,Clay,Rice,Rabi,Sprinkler,South,79.24,10.29,12.074
29.67,1269.67,Sandy,Barley,Zaid,Flood,South,32.4,8.95,11.398
38.75,654.55,Loamy,Rice,Kharif,Flood,East,23.51,4.08,7.341
35.75,846.39,Loamy,Rice,Kharif,Sprinkler,North,145.54,8.99,13.568
31.06,1150.82,Peaty,Maize,Kharif,Flood,West,132.59,8.86,13.351
36.59,951.36,Clay,Maize,Rabi,Sprinkler,West,124.54,7.72,10.843
32.32,705.62,Sandy,Rice,Rabi,Rainfed,North,172.19,11.89,14.097
28.15,354.56,Silty,Rice,Zaid,Rainfed,South,46.82,4.94,6.137
15.26,258.89,Silty,Maize,Rabi,Flood,South,177.28,11.86,10.547
31.18,748.51,Clay,Sorghum,Rabi,Flood,East,17.74,10.22,9.726
22.43,1336.07,Loamy,Barley,Kharif,Sprinkler,East,145.85,9.6,14.631
18.83,936.77,Clay,Maize,Rabi,Drip,West,168.17,8.83,11.437
31.8,700.78,Peaty,Wheat,Kharif,Sprinkler,Central,29.9,6.36,8.0
19.47,1455.69,Sandy,Barley,Zaid,Drip,East,150.62,4.25,11.871
33.99,639.18,Loamy,Maize,Rabi,Flood,East,188.22,5.22,10.761
31.58,1366.95,Loamy,Wheat,Rabi,Sprinkler,East,64.84,10.45,13.799
28.73,1341.29,Loamy,Barley,Rabi,Drip,East,74.46,4.81,9.611
17.01,769.37,Sandy,Maize,Zaid,Rainfed,North,40.81,11.62,9.209
31.43,645.68,Sandy,Wheat,Zaid,Flood,South,120.8,8.74,10.174
35.53,687.65,Sandy,Barley,Rabi,Flood,South,92.26,8.2,10.254
18.87,1107.15,Loamy,Rice,Rabi,Sprinkler,South,157.26,8.18,11.055
34.97,745.61,Loamy,Barley,Kharif,Rainfed,Central,121.59,9.76,12.351
15.54,1425.16,Loamy,Maize,Rabi,Sprinkler,East,187.06,4.08,13.145
37.19,1418.74,Loamy,Rice,Rabi,Sprinkler,West,154.06,6.16,13.957
23.04,965.82,Loamy,Rice,Rabi,Rainfed,West,26.61,4.22,9.639
29.65,956.52,Peaty,Rice,Rabi,Flood,North,189.62,5.42,14.41
24.85,306.08,Loamy,Wheat,Kharif,Drip,West,109.32,4.62,7.499
31.58,228.0,Loamy,Wheat,Rabi,Drip,South,24.31,9.13,6.725
15.71,1065.51,Loamy,Rice,Rabi,Sprinkler,West,47.81,6.11,8.508
31.28,290.28,Loamy,Rice,Rabi,Flood,East,178.87,6.34,7.905
32.46,921.7,Loamy,Rice,Zaid,Drip,South,167.44,9.87,13.176
25.07,445.13,Sandy,Rice,Zaid,Flood,South,156.82,10.64,11.481
24.35,1321.54,Loamy,Barley,Zaid,Drip,West,123.92,8.62,12.269
24.0,1039.75,Sandy,Maize,Rabi,Drip,East,192.88,10.99,14.024
36.72,703.73,Loamy,Wheat,Kharif,Sprinkler,North,107.21,8.84,11.473
33.59,715.99,Silty,Maize,Rabi,Rainfed,East,34.31,8.71,8.388
21.08,1362.29,Silty,Rice,Kharif,Drip,East,15.95,5.51,9.471
39.11,514.51,Silty,Barley,Rabi,Flood,East,167.7,4.38,10.211
24.76,962.7,Sandy,Rice,Kharif,Sprinkler,South,25.5,9.83,9.806
18.35,1434.0,Clay,Sorghum,Rabi,Flood,North,153.1,6.58,13.527
18.37,588.19,Sandy,Wheat,Rabi,Rainfed,West,75.07,4.07,8.33
22.61,425.67,Loamy,Wheat,Kharif,Drip,North,148.3,9.72,10.439
18.52,1006.74,Clay,Barley,Rabi,Flood,East,22.3,7.21,7.583
37.96,1499.08,Clay,Wheat,Kharif,Sprinkler,South,54.86,7.36,13.156
21.28,528.83,Peaty,Wheat,Kharif,Flood,West,74.45,6.15,7.607
23.11,1427.19,Sandy,Maize,Kharif,Drip,Central,192.02,6.37,13.108
30.34,595.33,Clay,Sorghum,Zaid,Drip,North,197.89,6.89,10.976
21.09,1022.07,Loamy,Rice,Kharif,Sprinkler,Central,108.12,8.75,10.42
20.65,759.81,Loamy,Maize,Kharif,Sprinkler,South,102.02,9.36,10.484
16.68,257.04,Loamy,Wheat,Kharif,Drip,West,77.95,4.84,5.503
29.16,1388.1,Clay,Barley,Kharif,Flood,Central,148.76,11.99,15.626
18.88,590.02,Loamy,Sorghum,Zaid,Sprinkler,East,36.73,10.42,9.926
39.91,778.14,Clay,Wheat,Rabi,Flood,Central,194.63,11.53,14.051
36.8,1246.13,Silty,Wheat,Rabi,Flood,South,56.07,4.28,11.197
28.05,740.4,Peaty,Wheat,Zaid,Rainfed,Central,95.49,7.84,11.223
36.18,967.31,Clay,Barley,Rabi,Drip,South,177.23,5.02,13.433
28.43,748.99,Loamy,Sorghum,Kharif,Flood,West,182.67,6.53,10.672
21.79,948.28,Silty,Sorghum,Kharif,Drip,North,143.07,10.14,12.413
27.42,1372.59,Loamy,Wheat,Rabi,Sprinkler,Central,175.41,10.6,15.439
39.6,1208.8,Clay,Rice,Zaid,Sprinkler,West,55.24,8.87,12.616
25.64,932.83,Clay,Maize,Rabi,Flood,East,162.04,10.79,12.855
24.95,711.83,Loamy,Wheat,Kharif,Flood,North,96.84,4.44,8.114
16.58,385.65,Clay,Sorghum,Kharif,Drip,East,191.16,4.53,9.718
31.89,1276.82,Silty,Rice,Rabi,Drip,South,131.66,4.6,11.066
39.35,495.19,Loamy,Wheat,Kharif,Rainfed,East,75.25,4.91,7.043
30.26,480.76,Sandy,Wheat,Kharif,Sprinkler,West,165.61,5.83,9.174
35.11,418.98,Silty,Sorghum,Kharif,Flood,South,55.07,8.32,8.1
38.34,1281.18,Sandy,Wheat,Kharif,Drip,North,157.75,9.26,14.557
18.84,403.36,Loamy,Sorghum,Kharif,Rainfed,West,146.22,10.44,10.251
39.84,520.22,Loamy,Wheat,Rabi,Drip,West,101.04,9.22,10.811
34.39,1194.1,Clay,Barley,Kharif,Drip,East,183.54,8.52,15.262
22.66,917.31,Silty,Rice,Rabi,Sprinkler,Central,114.82,7.17,11.574
23.36,203.81,Loamy,Sorghum,Zaid,Drip,North,63.9,7.85,6.391
38.4,1161.79,Clay,Sorghum,Rabi,Sprinkler,East,102.79,4.02,11.44
37.65,974.75,Loamy,Sorghum,Rabi,Sprinkler,West,122.32,9.17,12.396
34.46,436.43,Sandy,Rice,Kharif,Sprinkler,Central,114.57,10.82,9.491
35.26,565.75,Peaty,Wheat,Kharif,Rainfed,West,187.33,7.77,12.196
36.05,811.27,Loamy,Sorghum,Kharif,Rainfed,West,199.47,10.72,13.312
16.63,218.03,Peaty,Maize,Kharif,Drip,Central,168.06,10.17,8.415
26.0,817.53,Silty,Wheat,Rabi,Sprinkler,South,130.03,10.68,12.127
18.88,1363.11,Silty,Rice,Rabi,Flood,North,16.9,5.63,10.265
38.37,993.5,Sandy,Sorghum,Kharif,Sprinkler,South,37.81,9.4,11.276
19.11,1378.41,Silty,Wheat,Rabi,Sprinkler,Central,29.9,7.91,11.841
37.4,229.52,Sandy,Maize,Zaid,Drip,South,128.72,6.55,8.189
28.2,322.72,Silty,Wheat,Rabi,Flood,Central,144.34,8.19,9.139
17.49,1369.48,Silty,Rice,Kharif,Flood,North,195.4,7.2,13.36
36.99,217.25,Loamy,Maize,Kharif,Drip,East,124.13,5.8,9.678
30.2,913.05,Clay,Rice,Rabi,Sprinkler,Central,97.19,10.31,11.596
28.43,1168.0,Loamy,Barley,Rabi,Sprinkler,North,94.1,8.2,11.769
22.67,986.7,Loamy,Rice,Kharif,Flood,West,102.97,6.56,10.189
25.66,1053.19,Loamy,Maize,Kharif,Sprinkler,South,82.68,10.23,12.405
37.2,859.94,Clay,Rice,Kharif,Flood,North,133.73,11.51,12.605
26.54,431.39,Sandy,Rice,Kharif,Drip,West,138.05,9.49,9.742
22.67,450.91,Loamy,Rice,Zaid,Flood,East,155.31,5.06,10.743
22.39,258.48,Silty,Wheat,Rabi,Drip,South,41.34,4.78,5.951
39.94,436.23,Sandy,Wheat,Kharif,Sprinkler,Central,158.11,8.23,11.078
30.41,488.18,Silty,Maize,Zaid,Flood,West,115.43,7.83,9.281
29.05,386.57,Peaty,Wheat,Kharif,Drip,Central,197.22,10.19,10.513
39.74,916.09,Clay,Wheat,Rabi,Drip,South,31.86,6.45,9.724
39.8,1427.38,Silty,Sorghum,Rabi,Rainfed,South,85.24,4.69,12.358
16.79,286.84,Sandy,Wheat,Rabi,Sprinkler,Central,83.38,4.72,7.54
24.75,1059.47,Clay,Wheat,Rabi,Sprinkler,South,19.61,6.79,9.43
34.91,928.6,Sandy,Maize,Zaid,Sprinkler,West,109.02,8.38,12.477
28.12,891.73,Sandy,Rice,Rabi,Rainfed,West,96.21,10.62,10.413
29.34,1099.82,Clay,Barley,Kharif,Flood,North,56.66,4.88,10.019
21.91,478.37,Loamy,Maize,Kharif,Flood,East,109.26,8.86,11.458
31.36,1210.41,Loamy,Maize,Kharif,Sprinkler,West,140.51,8.93,12.768
32.54,470.43,Sandy,Maize,Rabi,Sprinkler,Central,137.78,9.29,11.604
28.81,1302.59,Silty,Wheat,Kharif,Drip,Central,14.83,8.05,11.169
33.05,1445.87,Peaty,Barley,Zaid,Flood,North,151.6,10.54,15.1
26.72,601.32,Loamy,Rice,Zaid,Rainfed,West,63.93,9.68,10.176
33.64,759.8,Sandy,Barley,Kharif,Drip,North,178.89,11.86,12.339
31.52,1431.34,Loamy,Maize,Kharif,Flood,North,24.5,10.2,13.023
35.89,231.11,Loamy,Wheat,Kharif,Drip,North,191.59,7.09,10.797
31.1,1112.36,Silty,Wheat,Zaid,Rainfed,North,186.64,8.65,14.459
27.05,778.7,Sandy,Rice,Rabi,Sprinkler,North,102.88,8.72,11.117
21.59,1181.22,Clay,Wheat,Rabi,Rainfed,Central,40.53,10.7,11.761
30.1,208.12,Clay,Maize,Rabi,Sprinkler,West,173.86,5.89,7.822
15.91,1282.13,Clay,Wheat,Rabi,Rainfed,Central,47.12,8.5,10.732
19.65,1016.33,Clay,Maize,Kharif,Flood,Central,193.1,8.94,13.903
24.88,1300.81,Peaty,Sorghum,Kharif,Rainfed,South,110.0,10.32,13.704
34.66,1280.17,Loamy,Sorghum,Zaid,Flood,South,110.83,8.29,12.611
36.75,768.55,Loamy,Maize,Rabi,Drip,East,22.89,4.42,7.971
37.57,363.95,Peaty,Wheat,Rabi,Drip,East,58.75,10.9,9.415
27.36,1156.25,Loamy,Rice,Kharif,Drip,North,143.49,11.46,13.248
36.6,278.67,Silty,Rice,Rabi,Flood,West,44.46,9.03,8.108
23.94,517.97,Clay,Wheat,Rabi,Drip,East,181.44,9.69,11.247
20.78,574.54,Sandy,Barley,Kharif,Drip,South,122.48,10.85,10.43
33.37,1214.34,Loamy,Rice,Kharif,Flood,West,174.76,5.18,13.863
16.38,384.02,Silty,Rice,Rabi,Drip,East,127.63,6.24,6.858
39.88,928.22,Sandy,Barley,Rabi,Sprinkler,Central,60.61,4.84,9.468
24.18,711.52,Loamy,Wheat,Kharif,Drip,Central,35.71,7.77,9.719
37.33,877.51,Sandy,Maize,Rabi,Rainfed,East,117.51,8.42,11.806
18.78,348.58,Sandy,Rice,Zaid,Drip,South,171.56,4.16,8.814
35.23,1361.29,Loamy,Maize,Rabi,Flood,South,34.07,5.71,11.258
30.13,700.59,Peaty,Rice,Zaid,Flood,South,53.41,11.21,9.183
34.74,426.28,Peaty,Barley,Kharif,Rainfed,West,119.72,8.54,10.047
26.89,413.34,Loamy,Wheat,Rabi,Drip,South,66.45,6.83,7.926
25.8,1105.88,Clay,Sorghum,Rabi,Drip,West,58.63,9.62,11.221
25.71,1345.47,Sandy,Wheat,Rabi,Sprinkler,Central,195.37,8.78,14.804
19.42,242.33,Loamy,Wheat,Zaid,Rainfed,West,175.17,10.4,9.458
28.63,766.67,Peaty,Sorghum,Kharif,Flood,Central,145.08,9.37,13.081
38.57,1295.97,Clay,Rice,Kharif,Drip,East,115.25,8.04,11.948
25.99,553.32,Silty,Maize,Kharif,Sprinkler,East,189.97,8.63,9.884
26.26,803.46,Silty,Wheat,Kharif,Rainfed,West,72.88,9.29,10.307
15.52,643.23,Clay,Sorghum,Rabi,Sprinkler,East,178.25,10.04,10.492
23.1,1282.44,Peaty,Rice,Rabi,Sprinkler,East,156.95,4.5,13.482
15.26,1356.28,Loamy,Barley,Kharif,Sprinkler,West,84.88,5.65,10.242
27.35,505.54,Silty,Maize,Kharif,Flood,East,178.59,9.55,11.99
33.02,854.5,Loamy,Wheat,Kharif,Drip,Central,165.11,6.04,10.592
35.63,1327.03,Loamy,Maize,Kharif,Flood,South,159.21,5.6,12.831
35.02,871.51,Silty,Wheat,Rabi,Sprinkler,South,145.86,7.15,12.817
28.82,1321.78,Silty,Maize,Rabi,Flood,East,35.46,8.81,12.651
37.12,1331.23,Loamy,Maize,Zaid,Flood,South,91.46,6.05,11.266
32.19,477.09,Sandy,Wheat,Rabi,Drip,West,114.29,8.23,8.382
34.93,911.78,Peaty,Rice,Kharif,Sprinkler,North,162.54,6.55,13.177
18.86,1031.31,Sandy,Wheat,Zaid,Sprinkler,West,77.67,7.36,9.96
25.03,280.01,Sandy,Rice,Zaid,Flood,East,116.13,9.67,9.313
31.25,224.97,Clay,Barley,Zaid,Drip,West,185.72,6.9,10.032
24.68,1269.35,Sandy,Wheat,Kharif,Rainfed,East,33.61,11.49,12.621
19.97,570.3,Loamy,Wheat,Kharif,Rainfed,East,172.7,4.44,9.719
27.95,704.4,Clay,Barley,Kharif,Drip,East,34.5,10.77,9.981
36.7,1364.06,Loamy,Wheat,Rabi,Drip,West,142.07,9.66,13.935
33.77,1203.78,Loamy,Rice,Zaid,Flood,South,32.93,4.25,8.796
19.68,1266.73,Sandy,Rice,Rabi,Drip,Central,36.34,7.22,9.53
25.16,1043.31,Silty,Maize,Kharif,Flood,North,151.78,11.14,13.247
15.23,591.01,Loamy,Sorghum,Zaid,Rainfed,East,180.15,8.77,11.517
24.71,1021.43,Sandy,Rice,Kharif,Flood,East,27.96,9.23,9.061
25.51,533.45,Silty,Maize,Kharif,Rainfed,West,41.85,6.04,6.724
18.87,578.59,Loamy,Sorghum,Kharif,Sprinkler,Central,89.43,10.39,9.775
34.39,365.42,Loamy,Barley,Kharif,Rainfed,East,199.91,8.07,11.138
16.05,237.36,Clay,Rice,Rabi,Flood,Central,23.03,7.85,6.629
17.06,1001.22,Peaty,Barley,Kharif,Flood,North,197.73,11.94,13.656
31.32,1213.27,Clay,Rice,Rabi,Sprinkler,West,35.23,11.76,12.537
28.84,1265.03,Sandy,Wheat,Zaid,Drip,South,151.36,9.65,13.143
21.46,792.76,Loamy,Rice,Zaid,Flood,Central,34.94,4.43,6.251
31.69,1083.51,Peaty,Rice,Rabi,Flood,East,36.24,5.48,11.425
17.24,299.1,Sandy,Maize,Kharif,Rainfed,East,61.53,4.96,5.579
32.19,1272.34,Clay,Rice,Kharif,Flood,West,107.53,7.8,12.289
37.89,1467.16,Silty,Barley,Zaid,Flood,South,149.06,5.47,15.009
39.26,768.65,Peaty,Rice,Kharif,Flood,East,125.48,9.25,13.167
36.93,361.83,Loamy,Sorghum,Rabi,Flood,North,99.06,10.63,10.942
30.79,620.45,Peaty,Sorghum,Zaid,Flood,East,36.92,9.91,9.0
37.41,1155.52,Sandy,Barley,Zaid,Sprinkler,West,182.64,4.66,12.429
22.16,287.89,Silty,Sorghum,Rabi,Rainfed,East,19.98,11.09,7.561
38.69,353.23,Clay,Wheat,Kharif,Drip,East,118.22,10.78,10.468
30.87,1442.99,Loamy,Wheat,Rabi,Sprinkler,North,73.11,8.23,12.98
26.95,789.72,Silty,Rice,Kharif,Rainfed,North,153.85,4.93,11.536
37.92,927.44,Sandy,Maize,Rabi,Rainfed,North,195.26,5.49,12.573
31.98,453.47,Silty,Wheat,Rabi,Flood,West,89.93,10.88,9.303
31.42,831.64,Loamy,Barley,Kharif,Drip,North,18.75,5.0,7.773
25.79,836.81,Sandy,Maize,Kharif,Sprinkler,West,57.12,7.52,9.087
17.3,1035.26,Clay,Wheat,Rabi,Sprinkler,Central,69.79,6.02,8.995
22.48,653.9,Loamy,Wheat,Rabi,Flood,East,35.96,9.32,8.389
27.45,944.48,Sandy,Maize,Rabi,Flood,South,22.6,8.13,10.61
17.35,1222.85,Loamy,Barley,Rabi,Drip,North,62.35,8.86,12.018
19.2,1289.73,Clay,Wheat,Zaid,Flood,Central,16.34,6.15,10.474
33.1,343.46,Clay,Barley,Rabi,Rainfed,West,13.87,4.3,5.611
23.59,391.86,Clay,Maize,Zaid,Drip,Central,193.18,6.17,9.044
29.06,1140.34,Loamy,Sorghum,Rabi,Flood,West,76.17,10.66,12.648
38.81,997.69,Clay,Barley,Zaid,Sprinkler,East,198.33,5.61,13.431
37.01,258.61,Sandy,Wheat,Zaid,Sprinkler,Central,134.7,7.62,9.006
29.69,1210.41,Loamy,Sorghum,Rabi,Flood,South,188.82,9.29,14.022
31.55,1059.22,Sandy,Maize,Zaid,Sprinkler,South,130.19,7.07,11.596
24.36,934.32,Loamy,Sorghum,Rabi,Flood,South,198.72,8.87,13.621
21.32,380.8,Loamy,Rice,Zaid,Rainfed,South,179.41,10.14,10.074
18.16,953.25,Silty,Wheat,Rabi,Flood,South,187.96,4.97,11.27
30.31,203.69,Loamy,Sorghum,Kharif,Drip,West,147.44,6.62,7.119
18.54,394.2,Sandy,Rice,Zaid,Drip,North,161.7,5.98,8.8
26.5,1200.07,Peaty,Rice,Kharif,Sprinkler,East,13.85,8.54,10.739
17.1,1208.95,Clay,Sorghum,Kharif,Flood,North,73.68,7.82,10.685
33.32,1127.76,Loamy,Sorghum,Kharif,Sprinkler,West,137.31,9.17,11.792
22.95,355.41,Loamy,Barley,Rabi,Flood,East,86.88,11.66,9.247
23.88,361.52,Sandy,Barley,Rabi,Rainfed,West,112.49,6.14,7.961
33.65,294.15,Silty,Maize,Rabi,Rainfed,Central,77.62,8.65,9.579
19.75,325.82,Silty,Maize,Rabi,Drip,North,152.25,8.61,9.294
16.79,1051.12,Loamy,Wheat,Zaid,Rainfed,East,126.53,11.75,13.759
23.88,470.24,Sandy,Rice,Kharif,Drip,East,117.39,7.21,8.89
23.71,221.7,Clay,Barley,Kharif,Flood,Central,49.61,11.89,7.647
37.9,1062.62,Silty,Barley,Zaid,Rainfed,West,123.13,4.84,11.316
19.88,738.52,Peaty,Rice,Rabi,Flood,West,94.72,4.33,8.807
21.45,1324.09,Sandy,Wheat,Kharif,Rainfed,North,106.71,5.65,11.698
31.0,1180.22,Sandy,Wheat,Zaid,Sprinkler,Central,81.2,4.78,10.44
26.34,658.6,Loamy,Rice,Rabi,Drip,West,40.08,6.25,7.416
17.37,1095.49,Silty,Wheat,Kharif,Sprinkler,North,145.7,4.79,11.247
27.7,1299.85,Silty,Rice,Kharif,Sprinkler,East,114.58,7.52,12.819
34.89,463.24,Silty,Wheat,Zaid,Sprinkler,East,101.8,5.86,8.808
37.53,1001.91,Loamy,Sorghum,Kharif,Drip,West,158.75,6.83,12.311
23.05,1255.63,Loamy,Sorghum,Rabi,Rainfed,West,193.82,5.39,12.832
25.06,1440.45,Clay,Rice,Kharif,Drip,East,55.87,8.52,11.435
23.72,1118.14,Loamy,Rice,Rabi,Sprinkler,South,36.92,6.23,9.881
33.13,1415.82,Silty,Rice,Rabi,Sprinkler,North,88.74,5.45,12.787
32.44,905.96,Sandy,Wheat,Kharif,Flood,Central,196.24,9.76,14.467
34.05,942.64,Sandy,Barley,Kharif,Sprinkler,East,87.01,8.79,11.081
36.58,755.39,Loamy,Wheat,Kharif,Flood,West,79.58,6.66,9.272
38.93,1257.43,Loamy,Sorghum,Kharif,Flood,West,67.18,4.28,10.249
35.14,1407.76,Clay,Rice,Kharif,Rainfed,South,41.87,4.84,11.552
19.93,899.65,Silty,Rice,Kharif,Flood,Central,34.6,10.32,9.587
18.14,332.12,Silty,Maize,Kharif,Flood,East,160.53,10.67,10.28
18.22,459.63,Sandy,Barley,Kharif,Flood,East,180.6,9.12,10.358
16.46,1065.1,Sandy,Maize,Rabi,Flood,West,61.39,11.36,10.543
38.54,815.98,Clay,Wheat,Rabi,Drip,North,152.68,10.53,12.319
34.24,342.43,Loamy,Sorghum,Zaid,Sprinkler,West,27.61,7.21,5.754
18.44,1336.57,Peaty,Maize,Rabi,Flood,East,77.78,8.7,12.468
37.13,456.09,Sandy,Wheat,Rabi,Rainfed,North,188.33,7.43,11.194
25.23,1435.86,Peaty,Barley,Zaid,Sprinkler,Central,173.25,4.06,12.817
31.49,740.42,Clay,Wheat,Kharif,Flood,South,90.75,7.32,10.544
